,actor,actress,art_direction,cinematography,costume,director,editing,effects,music,other,picture,s_actor,s_actress,screenplay,song,sound,year
There's No Business Like Show Business,O,O,O,O,N,O,O,O,N,N,O,O,O,O,O,O,1954
When Magoo Flew,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1954
Crazy Mixed Up Pup,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Pigs Is Pigs,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Sandy Claws,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
"Touché, Pussy Cat!",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
The Vanishing Prairie,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1954
The Stratford Adventure,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Thursday's Children,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1954
Jet Carrier,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Rembrandt: A Self-Portrait,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
This Mechanical Age,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1954
The First Piano Quartette,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
The Strauss Fantasy,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
A Time Out of War,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1954
Beauty and the Bull,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Siam,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
The Silver Chalice,O,O,O,N,O,O,O,O,N,O,O,O,O,O,O,O,1954
White Christmas,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1954
Susan Slept Here,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,1954
Brigadoon,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,N,1954
Le Plaisir,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1954
"20,000 Leagues Under the Sea",O,O,W,O,O,O,N,W,O,O,O,O,O,O,O,O,1954
Désirée,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1954
Red Garters,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1954
Rogue Cop,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1954
The Egyptian,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1954
The Earrings of Madame de…,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1954
Indiscretion of an American Wife,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1954
It Should Happen to You,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1954
Gate of Hell,O,O,O,O,W,O,O,O,O,O,O,O,O,O,O,O,1954
Hell and High Water,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1954
Them!,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1954
Marty,W,O,N,N,O,W,O,O,O,O,W,N,N,W,O,O,1955
Love Is a Many-Splendored Thing,O,N,N,N,W,O,O,O,W,O,N,O,O,O,W,N,1955
Mister Roberts,O,O,O,O,O,O,O,O,O,O,N,W,O,O,O,N,1955
Picnic,O,O,W,O,O,N,W,O,N,O,N,N,O,O,O,O,1955
The Rose Tattoo,O,W,W,W,N,O,N,O,N,O,N,O,N,O,O,O,1955
Bad Day at Black Rock,N,O,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1955
East of Eden,N,O,O,O,O,N,O,O,O,O,O,O,W,N,O,O,1955
Summertime,O,N,O,O,O,N,O,O,O,O,O,O,O,O,O,O,1955
Love Me or Leave Me,N,O,O,O,O,O,O,O,N,W,O,O,O,N,N,N,1955
The Man with the Golden Arm,N,O,N,O,O,O,O,O,N,O,O,O,O,O,O,O,1955
I'll Cry Tomorrow,O,N,N,N,W,O,O,O,O,O,O,O,O,O,O,O,1955
Interrupted Melody,O,N,O,O,N,O,O,O,O,W,O,O,O,O,O,O,1955
Trial,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1955
Rebel Without a Cause,O,O,O,O,O,O,O,O,O,N,O,N,N,O,O,O,1955
Pete Kelly's Blues,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1955
Blackboard Jungle,O,O,N,N,O,O,N,O,O,O,O,O,O,N,O,O,1955
The Court-Martial of Billy Mitchell,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
It's Always Fair Weather,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,1955
Mr. Hulot's Holiday,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
The Seven Little Foys,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
The Private War of Major Benson,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
The Sheep Has Five Legs,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Strategic Air Command,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Speedy Gonzales,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1955
Good Will to Men,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
The Legend of Rockabye Point,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
No Hunting,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Helen Keller in Her Story,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1955
Heartbreak Ridge,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Men Against the Arctic,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1955
The Battle of Gettysburg,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
The Face of Lincoln,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1955
Survival City,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1955
3rd Ave. El,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Gadgets Galore,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Three Kisses,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
24-Hour Alert,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
On The Twelfth Day,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Switzerland,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1955
Battle Cry,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1955
Oklahoma!,O,O,O,N,O,O,N,O,W,O,O,O,O,O,O,W,1955
Daddy Long Legs,O,O,N,O,O,O,O,O,N,O,O,O,O,O,N,O,1955
Guys and Dolls,O,O,N,N,N,O,O,O,N,O,O,O,O,O,O,O,1955
The Tender Trap,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1955
Unchained,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1955
Not as a Stranger,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1955
To Catch a Thief,O,O,N,W,N,O,O,O,O,O,O,O,O,O,O,O,1955
Queen Bee,O,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,1955
A Man Called Peter,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1955
The Pickwick Papers,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1955
Ugetsu,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1955
The Virgin Queen,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1955
The Bridges at Toko-Ri,O,O,O,O,O,O,N,W,O,O,O,O,O,O,O,O,1955
The Dam Busters,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1955
The Rains of Ranchipur,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1955
Around the World in 80 Days,O,O,N,W,N,N,W,O,W,O,W,O,O,W,O,O,1956
Friendly Persuasion,O,O,O,O,O,N,O,O,O,O,N,N,O,N,N,N,1956
Giant,N,O,N,O,N,W,N,O,N,O,N,O,N,N,O,O,1956
The King and I,W,N,W,N,W,N,O,O,W,O,N,O,O,O,O,W,1956
The Ten Commandments,O,O,N,N,N,O,N,W,O,O,N,O,O,O,O,N,1956
War and Peace,O,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,1956
Lust for Life,N,O,N,O,O,O,O,O,O,O,O,W,O,N,O,O,1956
Richard III,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1956
Anastasia,O,W,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1956
Baby Doll,O,N,O,N,O,O,O,O,O,O,O,O,N,N,O,O,1956
The Rainmaker,O,N,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1956
The Bad Seed,O,N,O,N,O,O,O,O,O,O,O,O,N,O,O,O,1956
Bus Stop,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1956
The Bold and the Brave,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,1956
Written on the Wind,O,O,O,O,O,O,O,O,O,O,O,N,W,O,N,O,1956
The Red Balloon,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,O,1956
Julie,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,1956
La Strada,O,O,O,O,O,O,O,O,O,W,O,O,O,N,O,O,1956
The Ladykillers,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1956
The Brave One,O,O,O,O,O,O,N,O,O,W,O,O,O,O,O,N,1956
The Eddy Duchin Story,O,O,O,N,O,O,O,O,N,N,O,O,O,O,O,N,1956
High Society,O,O,O,O,O,O,O,O,N,N,O,O,O,O,N,O,1956
The Proud and the Beautiful,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Umberto D.,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The Burmese Harp,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The Captain from Köpenick,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Gervaise,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Qivitoq,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The Silent World,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1956
The Naked Eye,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Where Mountains Float,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The True Story of the Civil War,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1956
A City Decides,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The Dark Wave,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The House Without a Name,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Man in Space,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Crashing the Water Barrier,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1956
I Never Forget a Face,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Time Stood Still,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The Bespoke Overcoat,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1956
Cow Dog,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Samoa,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Magoo's Puddle Jumper,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1956
Gerald McBoing-Boing on Planet Moo,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
The Jay Walker,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1956
Between Heaven and Hell,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1956
The Best Things in Life Are Free,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1956
Meet Me in Las Vegas,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1956
The Man Who Knew Too Much,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,1956
Somebody Up There Likes Me,O,O,W,W,O,O,N,O,O,O,O,O,O,O,O,O,1956
The Proud and Profane,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1956
Seven Samurai,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1956
The Solid Gold Cadillac,O,O,N,O,W,O,O,O,O,O,O,O,O,O,O,O,1956
Teenage Rebel,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1956
The Harder They Fall,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1956
Stagecoach to Fury,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1956
The Power and the Prize,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1956
Forbidden Planet,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1956
The Bridge on the River Kwai,W,O,O,W,O,W,W,O,W,O,W,N,O,W,O,O,1957
12 Angry Men,O,O,O,O,O,N,O,O,O,O,N,O,O,N,O,O,1957
Peyton Place,O,N,O,N,O,N,O,O,O,O,N,N,N,N,O,O,1957
Sayonara,N,O,W,N,O,N,N,O,O,O,N,W,W,N,O,W,1957
Witness for the Prosecution,N,O,O,O,O,N,N,O,O,O,N,O,N,O,O,N,1957
A Hatful of Rain,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1957
Wild Is the Wind,N,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1957
The Three Faces of Eve,O,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1957
"Heaven Knows, Mr. Allison",O,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1957
Raintree County,O,N,N,O,N,O,O,O,N,O,O,O,O,O,O,O,1957
A Farewell to Arms,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1957
The Bachelor Party,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1957
Designing Woman,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1957
Funny Face,O,O,N,N,N,O,O,O,O,N,O,O,O,O,O,O,1957
I Vitelloni,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Man of a Thousand Faces,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
The Tin Star,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Nights of Cabiria,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1957
The Devil Strikes at Night,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Gates of Paris,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Mother India,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Nine Lives,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Albert Schweitzer,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1957
On the Bowery,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Torero!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
The Wetback Hound,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1957
A Chairy Tale,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
City of Gold,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Foothold on Antarctica,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Portugal,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Birds Anonymous,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1957
One Droopy Knight,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Tabasco Road,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
Trees and Jamaica Daddy,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
The Truth About Mother Goose,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1957
An Affair to Remember,O,O,O,N,N,O,O,O,N,O,O,O,O,O,N,O,1957
Boy on a Dolphin,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1957
Perri,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1957
The Joker Is Wild,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,1957
April Love,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1957
Tammy and the Bachelor,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1957
Gunfight at the O.K. Corral,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1957
Les Girls,O,O,N,O,W,O,O,O,O,O,O,O,O,O,O,N,1957
Pal Joey,O,O,N,O,N,O,N,O,O,O,O,O,O,O,O,N,1957
The Enemy Below,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,O,1957
The Spirit of St. Louis,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1957
Gigi,O,O,W,W,W,W,W,O,W,O,W,O,O,W,W,O,1958
Auntie Mame,O,N,N,N,O,O,N,O,O,O,N,O,N,O,O,O,1958
Cat on a Hot Tin Roof,N,N,O,N,O,N,O,O,O,O,N,O,O,N,O,O,1958
The Defiant Ones,N,O,O,W,O,N,N,O,O,W,N,N,N,O,O,O,1958
Separate Tables,W,N,O,N,O,O,O,O,N,O,N,O,W,N,O,O,1958
I Want to Live!,O,W,O,N,O,N,N,O,O,O,O,O,O,N,O,N,1958
The Inn of the Sixth Happiness,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,1958
The Old Man and the Sea,N,O,O,N,O,O,O,O,W,O,O,O,O,O,O,O,1958
Some Came Running,O,N,O,O,N,O,O,O,O,O,O,N,N,O,N,O,1958
The Big Country,O,O,O,O,O,O,O,O,N,O,O,W,O,O,O,O,1958
The Brothers Karamazov,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1958
Teacher's Pet,O,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,1958
Lonelyhearts,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1958
The Goddess,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Houseboat,O,O,O,O,O,O,O,O,O,N,O,O,O,O,N,O,1958
The Sheepman,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
The Horse's Mouth,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1958
My Uncle,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1958
Arms and the Man,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Big Deal on Madonna Street,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
The Road a Year Long,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
La venganza,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
White Wilderness,O,O,O,O,O,O,O,O,N,W,O,O,O,O,O,O,1958
Antarctic Crossing,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
The Hidden World,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Psychiatric Nursing,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Ama Girls,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1958
Employees Only,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Journey into Spring,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
The Living Stone,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Overture,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Grand Canyon,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1958
The Kiss,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Snows of Aorangi,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
T Is for Tumbleweed,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Knighty Knight Bugs,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1958
Paul Bunyan,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
Sidney's Family Tree,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1958
The Young Lions,O,O,O,N,O,O,O,O,N,O,O,O,O,O,O,N,1958
The Bolshoi Ballet,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1958
Damn Yankees!,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1958
Mardi Gras,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1958
South Pacific,O,O,O,N,O,O,O,O,N,O,O,O,O,O,O,W,1958
A Certain Smile,O,O,N,O,N,O,O,O,O,O,O,O,O,O,N,O,1958
Marjorie Morningstar,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1958
A Time to Love and a Time to Die,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1958
Vertigo,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,1958
"Bell, Book and Candle",O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1958
The Buccaneer,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1958
Desire Under the Elms,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1958
Cowboy,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1958
tom thumb,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,O,1958
Torpedo Run,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1958
Ben-Hur,W,O,W,W,W,W,W,W,W,O,W,W,O,N,O,W,1959
Anatomy of a Murder,N,O,O,N,O,O,N,O,O,O,N,N,O,N,O,O,1959
The Diary of Anne Frank,O,O,W,W,N,N,O,O,N,O,N,N,W,O,O,O,1959
The Nun's Story,O,N,O,N,O,N,N,O,N,O,N,O,O,N,O,N,1959
Room at the Top,N,W,O,O,O,N,O,O,O,O,N,O,N,W,O,O,1959
Some Like It Hot,N,O,N,N,W,N,O,O,O,O,O,O,O,N,O,O,1959
The Last Angry Man,N,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1959
Pillow Talk,O,N,N,O,O,O,O,O,N,W,O,O,N,O,O,O,1959
"Suddenly, Last Summer",O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1959
The Young Philadelphians,O,O,O,N,N,O,O,O,O,O,O,N,O,O,O,O,1959
Imitation of Life,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1959
The 400 Blows,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
North by Northwest,O,O,N,O,O,O,N,O,O,N,O,O,O,O,O,O,1959
Operation Petticoat,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Wild Strawberries,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Black Orpheus,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1959
The Bridge,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
The Great War,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Paw,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
The Village on the River,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Serengeti Shall Not Die,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1959
The Race for Space,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Glass,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1959
Donald in Mathmagic Land,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
From Generation to Generation,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
The Golden Fish,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1959
Between the Tides,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Mysteries of the Deep,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
The Running Jumping & Standing Still Film,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Skyscraper,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Moonbird,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1959
Mexicali Shmoes,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
Noah's Ark,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
The Violinist,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1959
On the Beach,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,O,1959
Porgy and Bess,O,O,O,N,N,O,O,O,W,O,O,O,O,O,O,N,1959
The Five Pennies,O,O,O,N,N,O,O,O,N,O,O,O,O,O,N,O,1959
Li'l Abner,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1959
Say One for Me,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1959
Sleeping Beauty,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1959
A Hole in the Head,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,1959
The Best of Everything,O,O,O,O,N,O,O,O,O,O,O,O,O,O,N,O,1959
The Hanging Tree,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1959
The Young Land,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1959
Journey to the Center of the Earth,O,O,N,O,O,O,O,N,O,O,O,O,O,O,O,N,1959
Libel,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1959
Career,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,1959
The Big Fisherman,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,1959
The Gazebo,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1959
The Apartment,N,N,W,N,O,W,W,O,O,W,W,N,O,O,O,N,1960
The Alamo,O,O,O,N,O,O,N,O,N,O,N,N,O,O,N,W,1960
Elmer Gantry,W,O,O,O,O,O,O,O,N,O,N,O,W,W,O,O,1960
Sons and Lovers,N,O,N,W,O,N,O,O,O,O,N,O,N,N,O,O,1960
The Sundowners,O,N,O,O,O,N,O,O,O,O,N,O,N,N,O,O,1960
Never on Sunday,O,N,O,O,N,N,O,O,O,N,O,O,O,O,W,O,1960
Psycho,O,O,N,N,O,N,O,O,O,O,O,O,N,O,O,O,1960
The Entertainer,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1960
Inherit the Wind,N,O,O,N,O,O,N,O,O,O,O,O,O,N,O,O,1960
Butterfield 8,O,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1960
Sunrise at Campobello,O,N,N,O,N,O,O,O,O,O,O,O,O,O,O,N,1960
Spartacus,O,O,W,W,W,O,N,O,N,O,O,W,O,O,O,O,1960
"Murder, Inc.",O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1960
Exodus,O,O,O,N,O,O,O,O,W,O,O,N,O,O,O,O,1960
The Dark at the Top of the Stairs,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1960
The Angry Silence,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1960
The Facts of Life,O,O,N,N,W,O,O,O,O,N,O,O,O,O,N,O,1960
"Hiroshima, My Love",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1960
Tunes of Glory,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1960
The Virgin Spring,O,O,O,O,N,O,O,O,O,W,O,O,O,O,O,O,1960
Kapo,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1960
Macario,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1960
The Ninth Circle,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1960
La Vérité,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1960
